INTRODUCCIÓN AL LENGUAJE MATEMÁTICO;1;1;0;4;1;Matemáticas;No;;
FÍSICA BÁSICA EXPERIMENTAL I: MOVIMIENTO, FUERZA, ASTRONOMÍA;1;1;0;3;1;Matemáticas, Física, Doble;No;;
Transversal;1;1;2;2;2;Matemáticas, Física, Doble;No;;
CÁLCULO DIFERENCIAL;1;1;0;4;1;Física,Matemáticas, Doble;No;;
Álgebra Lineal I;1;1;0;4;1;Matemáticas, Doble,Física;No;;
FÍSICA BÁSICA EXPERIMENTAL II: ONDAS: LUZ Y SONIDO;1;1;0;3;1;Física, Doble;No;;
HERRAMIENTAS COMPUTACIONALES EN EL LABORATORIO;1;1;4;0;2;Física;No;;
Inglés;1;1;0;4;2;Informática;No;;
Introducción al Software;1;1;2;2;3;Informática;No;;
Sistemas Digitales;1;1;2;2;3;Informática;No;;
Álgebra Lineal y Discreta;1;1;2;2;2;Informática;No;;
FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA;1;1;2;2;2;Informática;No;;
Álgebra Lineal II;2;1;0;4;1;Matemáticas, Doble;No;;
Ecuaciones Diferenciales ordinarias;2;1;0;4;1;Matemáticas, Física, Doble;No;;
Cálculo de probabilidades;2;1;0;4;1;Matemáticas,Doble_3;No;;
Topología;2;1;0;4;1;Matemáticas,Doble;No;;
Ampliación de Cálculo Diferencial;2;1;0;4;1;Matemáticas,Doble;No;;
Termodinámica;2;1;0;4;1;Física;No;;
Mecánica Clásica y Relatividad;2;1;0;4;1;Física;No;;
Transversal II;2;1;2;2;2;Física, Informática;No;;
LABORATORIO DE FÍSICA I;2;1;4;0;4;Física,Doble_3;No;NO_AULA;
MATEMÁTICA DISCRETA;2;1;0;4;1;Informática;No;;
Sistemas de Información;2;1;2;2;3;Informática;No;;
ESTRUCTURA DE COMPUTADORES;2;1;2;2;5;Informática;No;NO_AULA;
Estructuras de Datos;2;1;2;2;Informática;No;;
Teoría global de superficies;3;1;0;4;1;Matemáticas,Doble_4;No;;
Cálculo Numérico II;3;1;2;2;1;Matemáticas,Doble_4;No;;
Teoría de Galois;3;1;0;4;1;Matemáticas,Doble_4;No;;
Matemática Discreta;3;1;0;4;1;Matemáticas,Doble;No;;
Espacios de Hilbert;3;1;0;4;1;Matemáticas,Doble;No;;
Electromagnetismo y Óptica;3;1;0;4;1;Física,Doble;No;;
Física cuantica y estructura de la matería II;3;1;0;4;1;Física,Doble;No;;
Métodos numéricos;3;1;2;2;1;Física,Doble;No;;
Física Estadística;3;1;0;4;1;Física,Doble_4;No;;
Astronomía;3;1;0;4;1;Física,Doble_4;No;;
Introducción a los sistemas inteligentes;3;1;2;2;2;Informática;No;;
Programación paralela, concurrente y de tiempo real;3;1;2;2;3;Informática;No;;
INGENIERÍA DEL SOFTWARE I;3;1;1;3;2;Informática;No;;
INTRODUCCIÓN A LAS REDES DE COMPUTADORES;3;1;2;2;4;Informática;No;;
Interacción Persona-Computador;3;1;2;2;2;Informática;No;;
TEORÍA CUALITATIVA DE EDO;4;1;1;3;1;Matemáticas;Optativa;;
VARIEDADES DIFERENCIABLES;4;1;0;4;1;Matemáticas;Optativa;;
Topología algebraica;4;1;0;4;1;Matemáticas;Optativa;;
AMPLIACIÓN DE PROBABILIDADES;4;1;0;4;1;Matemáticas;Optativa;;
Economía y Administración de Empresas;4;1;0;4;1;Matemáticas;Optativa;;
ADVANCED EXPERIMENTAL TECHNIQUES (1C);4;1;0;4;1;Física,Doble;Fundamental,Aplicada;;
ADVANCED COMPUTATION;4;1;4;0;1;Física,Doble;Fundamental,Aplicada;;
Astrofísica;4;1;0;4;1;Física;Fundamental;;
Fotónica;4;1;0;4;1;Física;Fundamental;;
Mecánica cuántica;4;1;0;4;1;Física;Fundamental;;
Física de materiales;4;1;0;4;1;Física;Fundamental;;
Física de partículas elementales;4;1;2;2;1;Física;Fundamental;;
Calidad y auditoría;4;1;0;4;1;Informática;Software;;
PROCESOS DE INGENIERÍA DEL SOFTWARE;4;1;0;4;1;Informática;Software;;
Métodos de desarrollo;4;1;0;4;1;Informática;Software;;
Diseño de software;4;1;0;4;1;Informática;Software;;
Bases de datos avanzadas;4;1;0;4;1;Informática;Software,Computadores;;
Animación por computador y videojuegos;4;1;0;4;1;Informática;Software,Computadores,Computacion;;
Radiofísica;4;1;0;4;1;Física,Doble;Aplicada;;
Experimentación didáctica;4;1;0;4;1;Física;Aplicada;NO_AULA;
FUENTES DE ENERGÍA;4;1;0;4;1;Física;Aplicada;;
Química;4;1;0;4;1;Física;Aplicada;;
FÍSICA DE LA TIERRA;4;1;0;4;1;Física;Aplicada;;
ELECTRÓNICA APLICADA;4;1;0;4;1;Física;Aplicada;;
Diseño y administración de redes;4;1;0;4;1;Informática;Computadores;;
System and Network Security and Assurance;4;1;0;4;1;Informática;Computadores;;
Sistemas embebidos;4;1;0;4;1;Informática;Computadores;;
Sistemas operativos avanzados;4;1;0;4;1;Informática;Computadores;;
Modelos de cálculo;4;1;0;4;1;Informática;Computacion;;
Diseño de algoritmos;4;1;0;4;1;Informática;Computacion;;
Representación del conocimiento;4;1;0;4;1;Informática;Computacion;;
Gráficos por computador y realidad virtual;4;1;0;4;1;Informática;Computacion;;
PROGRAMACIÓN;1;2;2;3;3;Matematicas,Doble,Fisica;;;
Cálculo integral;1;2;0;4;1;Matematicas,Doble;;;
ESTADÍSTICA BÁSICA;1;2;0;4;1;Matematicas,Doble;;;
GEOMETRÍA, ARTE Y NATURALEZA;1;2;0;4;1;Matematicas;;;
Inglés;1;2;0;4;1;Matematicas;;;
GEOMETRÍA DE CURVAS Y SUPERFICIES;2;2;0;4;1;Matematicas,Doble_3;;;
CÁLCULO NUMÉRICO I;2;2;2;2;2;Matematicas,Doble_3;;;
Ecuaciones der.Parciales;2;2;0;2;1;Matematicas,Doble;;;
Estructuras algebraicas;2;2;0;3;1;Matematicas,Doble;;;
AMPLIACIÓN DE CÁLCULO INTEGRAL;2;2;0;3;1;Matematicas,Doble;;;
Variable Compleja;3;2;0;4;1;Matematicas,Doble;;;
OPTIMIZACIÓN I;3;2;2;2;1;Matematicas,Doble_4;;;
STATISTICAL INFERENCE;3;2;1;3;1;Matematicas,Doble_4;;;
Algebra Conmutativa;3;2;0;4;1;Matematicas,Doble_4;;;
Optimización;3;2;2;2;1;Matematicas,Doble_4;;;
TALLER DE MODELIZACIÓN;3;2;4;0;1;Matematicas,Doble_4;;;
Amp. de álgebra;4;2;0;2;1;Matematicas;;;
GEOMETRÍA PROYECTIVA Y ALGEBRAICA;4;2;0;4;1;Matematicas;;;
AMPLIACIÓN DE ESTADÍSTICA;4;2;1;3;1;Matematicas;;;
ÁLGEBRA COMPUTACIONAL;4;2;0;4;1;Matematicas;;;
TEORÍA DE LA MEDIDA;4;2;0;4;1;Matematicas;;;
Numerical Analysis III;4;2;1;2;1;Matematicas;Optativa;;
MATEMÁTICAS PARA LA EDUCACIÓN SECUNDARIA;4;2;0;3;1;Matematicas;Optativa;;
F.E.IV Practicas EWB;1;2;2;0;2;Doble,Fisica;;;
Fisica basica;1;2;0;2;5;Doble;;;
Fisica Experimental;1;2;0;2;1;Doble;;;
Laboratorio Multidisciplinar;1;2;2;2;1;Doble,Fisica;;;
Electricidad y Magnetismo;2;2;0;4;1;Doble,Fisica;;;
Fundamentos fisica cuantica;2;2;4;0;1;Doble;;;
INTRODUCCIÓN A LAS ECUACIONES EN DERIVADAS PARCIALES;2;2;0;2;1;Doble,Fisica;;
Laboratorio de Fisica II;2;2;2;2;2;Doble,Fisica;;;
Fisica cuantica y estructura de la materia III;3;2;0;4;1;Doble,Fisica;;;
Fisica cuantica y estructura de la materia IV;3;2;0;4;1;Doble,Fisica;;;
HISTORIA Y PANORAMA DE INVESTIGACIÓN Y APLICACIONES DE LA FÍSICA;4;2;0;4;1;Doble_4,Fisica;;;
Laboratorio de fisica basica III;1;2;2;0;4;Doble,Fisica;;;
Laboratorio de fisica basica IV;1;2;2;0;3;Doble,Fisica;;;
Cálculo Integral;1;2;0;4;1;Fisica;;;
FÍSICA BÁSICA EXPERIMENTAL III: LA MATERIA Y SUS PROPIEDADES;1;2;0;2;1;Doble;;;
FÍSICA BÁSICA EXPERIMENTAL IV: CIRCUITOS Y ELECTRÓNICA;1;2;0;3;1;Fisica;;;
INGLÉS;2;2;0;4;1;Fisica;;;
Laboratorio de física IV;3;2;4;0;3;Fisica,Doble_4;;;
Proyectos;4;2;0;4;1;Fisica;;;
Astronomy;4;2;0;3;1;Fisica;International Diploma;;
Particle Physics;4;2;0;3;1;Fisica;International Diploma;;
EXPERIMENTAL OPTICS;4;2;0;3;1;Fisica;International Diploma;;
PHYSICS OF MATERIALS;4;2;0;4;1;Fisica;International Diploma;;
ADVANCED EXPERIMENTAL TECHNIQUES (2C);4;2;0;6;1;Fisica;International Diploma;;
Estadística y Optimización;1;2;0;4;2;Informatica;;;
Economía y Administración de Empresas;1;2;0;4;1;Informatica;;;
INTRODUCCIÓN A LOS COMPUTADORES;1;2;2;2;2;Informatica;;;
MÉTODOS DE PROGRAMACIÓN;1;2;2;1;2;Informatica;;;
ANÁLISIS MATEMÁTICO Y MÉTODOS NUMÉRICOS;1;2;0;3;1;Informatica;;;
ORGANIZACIÓN DE COMPUTADORES;2;2;2;4;3;Informatica;;;
ALGORÍTMICA Y COMPLEJIDAD;2;2;2;3;2;Informatica;;;
LÓGICA;2;2;0;6;1;Informatica;;;
Sistemas operativos;2;2;2;2;2;Informatica;;;
Bases de datos;2;2;2;4;2;Informatica;;;
Ingeniería de Requisitos;3;2;0;2;1;Informatica;;;
Ingeniería del Software II;3;2;0;3;1;Informatica;;;
Sistemas de Tiempo Real;3;2;0;4;1;Informatica;;;
Desarrollo de Sistemas de Información;3;2;2;2;1;Informatica;;;
Lenguajes Formales;3;2;2;2;1;Informatica;;;
Aprendizaje Automático y Minería de Datos;3;2;2;2;1;Informatica;;;
Arquitectura e Ingeniería de Computadores;3;2;2;2;1;Informatica;;;
Sistemas Informáticos;3;2;1;2;2;Informatica;;;
Redes de Computadores y Sistemas Distribuidos;3;2;2;2;2;Informatica;;;
Gestión de Proyectos Software;4;2;0;4;1;Informatica;Software;;
Informática Industrial;4;2;0;4;1;Informatica;Software,Computadores,Computacion;;
Servicios Software;4;2;0;4;1;Informatica;Software;;
Sistemas de Información de la Empresa;4;2;2;2;1;Informatica;Software,Computadores,Computacion;;
DISEÑO Y GESTIÓN DE SISTEMAS INFORMÁTICOS;4;2;4;0;1;Informatica;Computadores;;
Multiprocesadores;4;2;0;4;1;Informatica;Computadores;;
NATURAL LANGUAGE PROCESSING;4;2;0;4;1;Informatica;Computadores;;
Lenguajes de Programación;4;2;0;4;1;Informatica;Computadores;;
